User Pseudo Id,Cohort,Test Group,Playtime
266,D0,1,19.067394
267,D0,1,13.724024
268,D0,0,5.06214
269,D0,0,5.483985
270,D0,0,1.912364
271,D0,0,4.977771
272,D0,1,32.425819
273,D0,1,83.862786
274,D0,1,49.974571
275,D0,1,14.848944
276,D0,1,13.442794
277,D0,1,45.137415
278,D0,0,1.827995
279,D0,1,36.5599
280,D0,0,26.210636
281,D0,1,15.608265
282,D0,0,111.563941
283,D0,1,11.81166
284,D0,1,6.608905
285,D0,0,12.514735
286,D0,0,4.49968
287,D0,0,29.444781
288,D0,0,121.913205
289,D0,0,88.02499
290,D0,1,35.238119
291,D0,1,23.848304
292,D0,1,7.508841
293,D0,0,161.622881
294,D0,0,82.737866
295,D0,1,22.639015
296,D0,0,40.21589
297,D0,0,50.05894
298,D0,0,34.450675
299,D0,1,21.65471
300,D0,1,16.8738
301,D0,0,14.258361
302,D0,1,4.696541
303,D0,1,3.852851
304,D0,0,2.306086
305,D0,0,35.71621
306,D0,1,196.354786
307,D0,0,1.884241
308,D0,0,8.493146
309,D0,0,2.8123
310,D0,1,3.712236
311,D0,0,62.348691
312,D0,0,5.427739
313,D0,0,18.476811
314,D0,1,10.489879
315,D0,0,11.614799
316,D0,1,81.134855
317,D0,1,1.040551
318,D0,0,31.49776
319,D0,0,137.52147
320,D0,1,2.53107
321,D0,0,29.332289
322,D0,0,44.799939
323,D0,0,19.320501
324,D0,1,13.555286
325,D0,1,58.355225
326,D0,0,23.90455
327,D0,1,16.170725
328,D0,1,64.40167
329,D0,1,4.359065
330,D0,0,64.6829
331,D0,0,0
332,D0,1,6.665151
333,D0,0,24.607625
334,D0,0,12.233505
335,D0,0,3.149776
336,D0,0,39.175339
337,D0,1,3.571621
338,D0,0,12.711596
339,D0,1,70.223131
340,D0,0,119.24152
341,D0,1,31.49776
342,D0,0,3.037284
343,D0,0,81.219224
344,D0,0,75.510255
345,D0,1,41.706409
346,D0,1,7.452595
347,D0,0,129.140816
348,D0,0,2.109225
349,D0,1,16.086356
350,D0,0,4.359065
351,D0,0,41.959516
352,D0,1,109.6797
353,D0,1,0.365599
354,D0,1,2.052979
355,D0,0,4.162204
356,D0,0,81.359839
357,D0,0,24.18578
358,D0,1,2.952915
359,D0,1,10.911724
360,D0,1,66.792125
361,D0,0,27.757401
362,D0,0,0
363,D0,0,19.039271
364,D0,1,11.952275
365,D0,1,18.336196
366,D0,1,11.2492
367,D0,1,10.68674
368,D0,1,144.83345
369,D0,1,43.168805
370,D0,0,12.233505
371,D0,1,12.852211
372,D0,0,5.708969
373,D0,0,36.925499
374,D0,1,8.296285
375,D0,1,5.821461
376,D0,0,40.862719
377,D0,0,27.982385
378,D0,1,18.84241
379,D0,0,64.907884
380,D0,1,12.93658
381,D0,0,41.847024
382,D0,1,3.177899
383,D0,0,72.501094
384,D0,0,34.169445
385,D0,1,169.01923
386,D0,1,3.459129
387,D0,1,0.84369
388,D0,0,46.740426
389,D0,0,48.990266
390,D0,1,37.68482
391,D0,0,2.306086
392,D0,0,3.852851
393,D0,1,3.65599
394,D0,0,66.595264
395,D0,0,104.111346
396,D0,1,2.727931
397,D0,1,61.786231
398,D0,1,33.7476
399,D0,1,18.701795
400,D0,0,5.962076
401,D0,0,2.727931
402,D0,0,2.334209
403,D0,0,223.240374
404,D0,1,2.587316
405,D0,1,0.084369
406,D0,1,0.646829
407,D0,1,2.727931
408,D0,1,10.12428
409,D0,1,11.474184
410,D0,1,24.607625
411,D0,0,6.46829
412,D0,0,7.396349
413,D0,1,27.785524
414,D0,0,4.584049
415,D0,1,13.920885
416,D0,1,41.959516
417,D0,1,44.71557
418,D0,0,16.8738
419,D0,0,5.483985
420,D0,0,41.481425
421,D0,1,1.40615
422,D0,0,120.788285
423,D0,1,34.731905
424,D0,0,15.805126
